# X Y X1 X2 Y1 Y2
   -3.25     1.57     0.15     0.15      0.3      0.3  #HE1337+0012 
   -2.71     0.38     0.08     0.08        0        0  #BD+03_740  # Y Upper Limit
   -2.63      0.3     0.08     0.08        0        0  #BD+24_1676  # Y Upper Limit
   -3.44     1.91     0.08     0.08        0        0  #BS16545-0089  # Y Upper Limit
   -4.71     0.64     0.13     0.13        0        0  #SDSSJ102915+172927  # Y Upper Limit
   -2.73     1.29     0.13     0.13        0        0  #HE2344-2800  # Y Upper Limit
   -3.68      2.4     0.12     0.12        0        0  #HE0049-3948  # Y Upper Limit
   -3.49     2.91     0.13     0.13        0        0  #HE1116-0054  # Y Upper Limit
   -2.84     2.51      0.1      0.1        0        0  #HE1142-1422  # Y Upper Limit
   -3.17     1.84     0.14     0.14        0        0  #HE1402-0523  # Y Upper Limit
   -2.93      2.3     0.14     0.14        0        0  #HE2020-5228  # Y Upper Limit
   -3.63      2.6     0.13     0.13        0        0  #HE2032-5633  # Y Upper Limit
   -3.14     1.91     0.14     0.14        0        0  #HE2047-5612  # Y Upper Limit
   -2.96     2.28     0.14     0.14        0        0  #HE2246-2410  # Y Upper Limit
   -2.46     1.13      0.1      0.1     0.22     0.22  #SDSSJ001820.5-093939.2  # Y Upper Limit
   -2.85     0.87     0.21     0.21        0        0  #CS22169-008  # Y Upper Limit
   -3.63        4     0.21     0.21        0        0  #CS22171-037  # Y Upper Limit
   -3.29     1.36     0.22     0.22        0        0  #CS22174-020  # Y Upper Limit
   -3.42     3.39     0.21     0.21        0        0  #CS22177-009  # Y Upper Limit
      -3     1.52     0.22     0.22        0        0  #CS22177-010  # Y Upper Limit
   -2.86     1.23     0.21     0.21        0        0  #CS22180-014  # Y Upper Limit
   -2.82     0.54     0.21     0.21        0        0  #CS22186-017  # Y Upper Limit
   -2.85     1.22     0.21     0.21        0        0  #CS22872-102  # Y Upper Limit
   -3.08     3.05     0.21     0.21        0        0  #CS22873-072  # Y Upper Limit
   -2.79     1.91     0.21     0.21        0        0  #CS22874-123  # Y Upper Limit
   -3.03     1.55     0.22     0.22        0        0  #CS22877-051  # Y Upper Limit
   -2.97     2.94     0.21     0.21        0        0  #CS22878-002  # Y Upper Limit
   -3.01     3.28     0.21     0.21        0        0  #CS22879-012  # Y Upper Limit
   -3.02     1.84     0.21     0.21        0        0  #CS22879-051  # Y Upper Limit
   -3.15     3.07     0.21     0.21        0        0  #CS22879-094  # Y Upper Limit
   -2.79     2.86     0.17     0.17        0        0  #CS22881-039  # Y Upper Limit
   -2.96     3.03     0.21     0.21        0        0  #CS22881-070  # Y Upper Limit
   -2.94     2.86     0.21     0.21        0        0  #CS22882-006  # Y Upper Limit
    -3.1     3.27     0.22     0.22        0        0  #CS22884-108  # Y Upper Limit
   -2.78      1.8     0.21     0.21        0        0  #CS22885-040  # Y Upper Limit
   -2.73      1.1     0.21     0.21        0        0  #CS22885-203  # Y Upper Limit
   -2.92     1.79     0.21     0.21        0        0  #CS22886-003  # Y Upper Limit
   -2.58     2.25     0.17     0.17        0        0  #CS22886-013  # Y Upper Limit
   -2.73      2.1     0.21     0.21        0        0  #CS22888-014  # Y Upper Limit
   -3.71     3.68     0.22     0.22        0        0  #CS22888-031  # Y Upper Limit
   -3.09     3.46     0.22     0.22        0        0  #CS22889-050  # Y Upper Limit
   -2.68      2.8     0.21     0.21        0        0  #CS22890-011  # Y Upper Limit
   -3.12     1.59     0.21     0.21        0        0  #CS22890-064  # Y Upper Limit
   -2.96     3.03     0.21     0.21        0        0  #CS22894-004  # Y Upper Limit
   -2.98      1.1     0.22     0.22        0        0  #CS22894-019  # Y Upper Limit
   -3.14     1.71     0.21     0.21        0        0  #CS22894-023  # Y Upper Limit
   -2.84     1.01      0.1      0.1        0        0  #CS22894-049  # Y Upper Limit
   -2.82     1.04     0.21     0.21        0        0  #CS22896-115  # Y Upper Limit
   -2.83      2.6     0.17     0.17        0        0  #CS22898-043  # Y Upper Limit
   -2.71     2.58     0.17     0.17        0        0  #CS22941-027  # Y Upper Limit
   -2.95     1.12     0.21     0.21        0        0  #CS22943-059  # Y Upper Limit
   -2.63     0.45     0.21     0.21     0.36     0.36  #CS22943-132 
