# X Y X1 X2 Y1 Y2
   -2.58     0.12        0        0        0        0  #BD+26_2621 
   -3.21     0.61        0        0        0        0  #CD-24_17504 
   -2.38     0.16        0        0        0        0  #CD-71_1234 
   -2.45     0.18        0        0        0        0  #G4-37 
   -2.54     0.23        0        0        0        0  #HD340279 
    -2.6     0.17        0        0        0        0  #HE0938+0114 
   -2.69     0.12        0        0        0        0  #HE1144-1349 
   -2.39     0.19        0        0        0        0  #LP635-14 
   -2.63     0.11        0        0        0        0  #LP651-4 
   -2.71     0.32        0        0        0        0  #LP815-43 
   -2.65     0.67        0        0        0        0  #BD+03_740  # Y Upper Limit
   -2.63     0.24     0.08     0.08     0.18     0.18  #BD+24_1676 
   -2.96     0.57        0        0        0        0  #BS16023-046  # Y Upper Limit
   -3.04     0.31        0        0        0        0  #BS16968-061  # Y Upper Limit
   -2.91     0.44        0        0        0        0  #BS17570-063  # Y Upper Limit
   -3.03      0.7        0        0        0        0  #CS22965-054 
   -3.06     0.53        0        0        0        0  #CS22966-011  # Y Upper Limit
   -2.69     0.76        0        0        0        0  #CS29499-060 
    -2.9     0.74        0        0        0        0  #CS29506-007 
   -2.82     0.69        0        0        0        0  #CS29506-090 
   -2.76     0.36        0        0        0        0  #CS29518-020  # Y Upper Limit
   -3.19     0.71        0        0        0        0  #CS29518-043  # Y Upper Limit
   -2.74     0.58        0        0        0        0  #CS30301-024 
   -2.57     0.43        0        0        0        0  #CS31061-032 
   -2.77     0.67     0.15     0.15        0        0  #HE0028-2152  # Y Upper Limit
   -2.56     0.61     0.16     0.16        0        0  #HE0054-2123 
   -2.73     0.99     0.13     0.13     0.12     0.12  #HE2344-2800 
   -2.46      0.7      0.1      0.1     0.15     0.15  #SDSSJ001820.5-093939.2  # Y Upper Limit
   -2.85     0.54     0.21     0.21        0        0  #CS22169-008  # Y Upper Limit
   -3.63     1.41     0.21     0.21        0        0  #CS22171-037  # Y Upper Limit
   -3.29     0.96     0.22     0.22        0        0  #CS22174-020  # Y Upper Limit
   -3.42     1.17     0.21     0.21        0        0  #CS22177-009  # Y Upper Limit
      -3     0.98     0.22     0.22        0        0  #CS22177-010  # Y Upper Limit
   -2.86     0.74     0.21     0.21        0        0  #CS22180-014  # Y Upper Limit
   -2.82     0.64     0.21     0.21        0        0  #CS22186-017  # Y Upper Limit
   -2.85     0.79     0.21     0.21        0        0  #CS22872-102  # Y Upper Limit
   -3.08     0.83     0.21     0.21     0.22     0.22  #CS22873-072 
   -2.79     0.96     0.21     0.21        0        0  #CS22874-123  # Y Upper Limit
   -3.03     0.89     0.22     0.22        0        0  #CS22877-051  # Y Upper Limit
   -2.97     0.74     0.21     0.21        0        0  #CS22878-002  # Y Upper Limit
   -3.01     0.93     0.21     0.21        0        0  #CS22879-012  # Y Upper Limit
   -3.02     0.99     0.21     0.21        0        0  #CS22879-051  # Y Upper Limit
   -3.15     0.92     0.21     0.21        0        0  #CS22879-094  # Y Upper Limit
   -2.79     1.07     0.17     0.17        0        0  #CS22881-039  # Y Upper Limit
   -2.96     0.72     0.21     0.21        0        0  #CS22881-070  # Y Upper Limit
   -2.94     0.84     0.21     0.21        0        0  #CS22882-006  # Y Upper Limit
    -3.1      1.2     0.22     0.22        0        0  #CS22884-108  # Y Upper Limit
   -2.78     0.75     0.21     0.21        0        0  #CS22885-040  # Y Upper Limit
   -2.73     0.63     0.21     0.21        0        0  #CS22885-203  # Y Upper Limit
   -2.92     0.76     0.21     0.21     0.21     0.21  #CS22886-003 
   -2.58     0.84     0.17     0.17        0        0  #CS22886-013  # Y Upper Limit
   -2.73     0.61     0.21     0.21        0        0  #CS22888-014  # Y Upper Limit
   -3.71     1.43     0.22     0.22        0        0  #CS22888-031  # Y Upper Limit
   -3.09     0.91     0.22     0.22        0        0  #CS22889-050  # Y Upper Limit
   -2.68      0.7     0.21     0.21        0        0  #CS22890-011  # Y Upper Limit
   -3.12     1.19     0.21     0.21        0        0  #CS22890-064  # Y Upper Limit
   -2.96     0.98     0.21     0.21        0        0  #CS22894-004  # Y Upper Limit
   -2.98     1.55     0.22     0.22        0        0  #CS22894-019  # Y Upper Limit
   -2.84     0.71      0.1      0.1        0        0  #CS22894-049  # Y Upper Limit
   -2.82     0.75     0.21     0.21        0        0  #CS22896-115  # Y Upper Limit
   -2.83     0.53     0.17     0.17      0.2      0.2  #CS22898-043 
   -2.71     0.75     0.17     0.17        0        0  #CS22941-027  # Y Upper Limit
   -2.63     0.04     0.21     0.21     0.26     0.26  #CS22943-132 
   -2.64     0.57     0.21     0.21        0        0  #CS22944-014  # Y Upper Limit
   -2.96     0.81     0.22     0.22        0        0  #CS22944-061  # Y Upper Limit
   -3.29     1.09     0.21     0.21        0        0  #CS22945-031  # Y Upper Limit
   -2.98     0.91     0.21     0.21        0        0  #CS22945-058  # Y Upper Limit
   -3.32     1.21     0.21     0.21        0        0  #CS22948-093  # Y Upper Limit
   -3.01     0.93     0.21     0.21        0        0  #CS22949-030  # Y Upper Limit
   -2.74     0.48     0.21     0.21     0.22     0.22  #CS22951-005 
   -3.21     0.91     0.22     0.22        0        0  #CS22953-037  # Y Upper Limit
      -3     0.71     0.21     0.21        0        0  #CS22954-004  # Y Upper Limit
   -2.81     0.62     0.21     0.21     0.22     0.22  #CS22956-015 
   -2.73     0.61     0.21     0.21        0        0  #CS22956-021  # Y Upper Limit
   -2.71     0.81     0.22     0.22        0        0  #CS22956-081  # Y Upper Limit
   -2.69     0.84     0.22     0.22        0        0  #CS22956-106  # Y Upper Limit
   -3.15     1.12     0.17     0.17        0        0  #CS22956-110  # Y Upper Limit
   -2.67     0.37     0.21     0.21     0.22     0.22  #CS22958-074 
   -2.67     0.54     0.21     0.21        0        0  #CS22959-139  # Y Upper Limit
   -3.05     0.82     0.22     0.22        0        0  #CS22960-029  # Y Upper Limit
   -2.82     0.43     0.21     0.21     0.24     0.24  #CS22964-115 
   -2.56     0.51     0.21     0.21        0        0  #CS22964-176  # Y Upper Limit
   -2.95     0.87     0.21     0.21        0        0  #CS22964-214  # Y Upper Limit
   -3.12     0.84     0.21     0.21        0        0  #CS22968-001  # Y Upper Limit
   -2.89     0.46     0.21     0.21     0.24     0.24  #CS29493-023 
   -2.66     0.61     0.21     0.21        0        0  #CS29493-094  # Y Upper Limit
   -2.81     0.66     0.21     0.21        0        0  #CS29499-058  # Y Upper Limit
   -2.92      0.6     0.21     0.21     0.23     0.23  #CS29501-032 
   -2.63     0.54     0.21     0.21        0        0  #CS29513-015  # Y Upper Limit
   -2.67     0.88     0.21     0.21        0        0  #CS29513-031  # Y Upper Limit
   -2.84     0.61     0.21     0.21        0        0  #CS29514-018  # Y Upper Limit
   -2.53     0.25     0.21     0.21     0.24     0.24  #CS29517-042 
   -2.55     0.68     0.21     0.21        0        0  #CS29529-054  # Y Upper Limit
      -3     0.85     0.22     0.22        0        0  #CS30339-015  # Y Upper Limit
   -2.71     1.41     0.17     0.17        0        0  #CS30339-046  # Y Upper Limit
    -3.5     1.37     0.22     0.22        0        0  #CS30339-069  # Y Upper Limit
   -2.82     0.56     0.21     0.21     0.22     0.22  #CS30493-071 
   -2.78     0.67     0.22     0.22        0        0  #G122-69  # Y Upper Limit
   -2.53     0.18      0.1      0.1     0.13     0.13  #G15-10 
    -2.6     0.19      0.1      0.1     0.14     0.14  #G180-58 
   -3.12     0.36      0.1      0.1      0.2      0.2  #G190-15 
   -3.17      0.5     0.21     0.21     0.27     0.27  #G206-34 
   -3.38     1.24     0.22     0.22        0        0  #G238-30  # Y Upper Limit
   -2.61     0.31     0.17     0.17      0.2      0.2  #HD106373 
   -2.81      0.6      0.2      0.2        0        0  #HE0411-3558  # Y Upper Limit
   -3.87      1.8      0.2      0.2        0        0  #HE0945-1435  # Y Upper Limit
      -3      1.4      0.2      0.2        0        0  #HE1241-2907  # Y Upper Limit
   -4.15        2      0.2      0.2        0        0  #HE2239-5019  # Y Upper Limit
   -3.29     0.53     0.04     0.04     0.03     0.03  #HE1337+0012 
