6.5M VW93
Species MassExp
p 3.531E+00
he3 3.871E-06
he4 1.915E+00
li7 1.340E-10
c12 4.291E-03
c13 5.299E-04
n14 3.020E-02
n15 9.679E-07
o16 5.857E-03
o17 2.219E-05
o18 4.817E-07
f19 2.648E-07
ne20 2.008E-03
ne21 5.346E-07
ne22 5.090E-04
na23 5.608E-05
mg24 1.639E-04
mg25 6.156E-04
mg26 3.179E-04
al26 2.835E-05
al27 8.416E-05
si28 8.297E-04
si29 4.567E-05
si30 3.467E-05
p31 8.924E-06
s32 5.750E-04
s33 4.755E-06
s34 2.329E-04
s35 2.712E-06
fe54 8.666E-05
fe55 2.639E-07
fe56 1.428E-03
fe57 3.647E-05
fe58 1.004E-05
fe60 3.697E-06
co59 6.532E-06
ni58 6.169E-05
ni60 2.530E-05
ni61 1.076E-05
ni62 2.353E-08
g 7.786E-07
7.0M VW93
Species MassExp
p 3.824E+00
he3 3.671E-06
he4 2.073E+00
li7 5.333E-10
c12 3.389E-03
c13 4.014E-04
n14 2.116E-02
n15 8.829E-07
o16 6.978E-03
o17 3.398E-05
o18 5.176E-07
f19 1.463E-07
ne20 2.172E-03
ne21 3.841E-07
ne22 3.472E-04
na23 5.476E-05
mg24 9.642E-05
mg25 7.140E-04
mg26 2.325E-04
al26 2.493E-05
al27 8.752E-05
si28 8.906E-04
si29 4.788E-05
si30 3.492E-05
p31 9.105E-06
s32 6.227E-04
s33 5.114E-06
s34 2.528E-04
s35 1.656E-06
fe54 9.419E-05
fe55 3.170E-07
fe56 1.551E-03
fe57 3.894E-05
fe58 7.908E-06
fe60 2.386E-06
co59 5.978E-06
ni58 6.707E-05
ni60 2.701E-05
ni61 8.615E-06
ni62 2.441E-08
g 5.192E-07
7.5M VW93
Species MassExp
p 4.085E+00
he3 6.000E-06
he4 2.218E+00
li7 2.607E-08
c12 3.404E-03
c13 4.279E-04
n14 1.918E-02
n15 1.319E-06
o16 8.223E-03
o17 4.885E-05
o18 5.752E-07
f19 7.989E-08
ne20 2.334E-03
ne21 4.180E-07
ne22 3.285E-04
na23 5.394E-05
mg24 8.672E-05
mg25 7.862E-04
mg26 2.499E-04
al26 1.995E-05
al27 9.320E-05
si28 9.517E-04
si29 5.087E-05
si30 3.707E-05
p31 9.733E-06
s32 6.656E-04
s33 5.457E-06
s34 2.704E-04
s35 1.446E-06
fe54 1.008E-04
fe55 3.566E-07
fe56 1.659E-03
fe57 4.133E-05
fe58 7.129E-06
fe60 2.438E-06
co59 5.955E-06
ni58 7.180E-05
ni60 2.870E-05
ni61 8.884E-06
ni62 2.605E-08
g 5.774E-07
8.0M VW93
Species MassExp
p 4.344E+00
he3 1.579E-05
he4 2.380E+00
li7 1.379E-07
c12 2.204E-03
c13 5.115E-04
n14 2.583E-02
n15 3.439E-06
o16 1.145E-02
o17 7.182E-05
o18 1.347E-06
f19 9.658E-08
ne20 2.487E-03
ne21 4.673E-07
ne22 4.227E-04
na23 7.422E-05
mg24 1.454E-04
mg25 7.906E-04
mg26 2.515E-04
al26 1.248E-05
al27 9.724E-05
si28 1.014E-03
si29 5.386E-05
si30 3.893E-05
p31 1.030E-05
s32 7.111E-04
s33 5.827E-06
s34 2.890E-04
s35 1.265E-06
fe54 1.077E-04
fe55 4.302E-07
fe56 1.774E-03
fe57 4.421E-05
fe58 6.939E-06
fe60 2.021E-06
co59 6.021E-06
ni58 7.673E-05
ni60 3.057E-05
ni61 8.880E-06
ni62 2.704E-08
g 5.712E-07
 
 
